Rank,Place,Population(1951 Census),Population(1961 Census),Population(1971 Census),Population(1981 Census),Population(1991 Census),Population(2001 Census),Population(2011 Census),Latitude,Longitude
1,Uttar Pradesh,60274800,70144160,83849775,105113300,132062800,166053600,199581477,27.5705886,80.0981869
2,Maharashtra,32002500,39554900,50412240,62782820,78937190,96752500,112372972,19.7514798,75.7138884
3,Bihar,29085900,34841490,42126800,52303000,64531200,82879910,103804630,25.0960742,85.3131194
4,West Bengal,26300670,34926000,44312017,54580650,68077970,80221300,91347736,22.9867569,87.8549755
5,Madhya Pradesh,18615700,23218950,30017180,38169500,48566800,60385090,72597565,22.9734229,78.6568942
6,Tamil Nadu,30119680,33687100,41199170,48408080,55859300,62111390,72138958,11.1271225,78.6568942
7,Rajasthan,15971130,20156540,25765810,34361860,44005990,56473300,68621012,27.0238036,74.2179326
8,Karnataka,19402500,23587910,29299015,37135710,44977200,52734986,61130704,15.3172775,75.7138884
9,Gujarat,16263700,20633305,26697488,34085800,41309580,50597200,60383628,22.258652,71.1923805
10,Andhra Pradesh,31115000,35983480,43502710,53551030,66508170,75728400,49665533,15.9128998,79.7399875
11,Orissa,14646100,17549500,21944625,26370270,31659740,36707900,41947358,20.9516658,85.0985236
12,Telangana,34455,5678,4456,33334,4567,33333,35193978,18.1124372,79.0192997
13,Kerala,13549000,16904560,21347300,25453680,29098523,31839000,33387677,10.8505159,76.2710833
14,Jharkhand,9697300,11606504,14227493,17612000,21844550,26946070,32966238,23.6101808,85.2799354
15,Assam,8029100,10837700,14625157,18041250,22414320,26638600,31169272,26.2006043,92.9375739
16,Punjab,9160990,11135404,13551069,16788920,20281971,24289130,27704236,31.1471305,75.3412179
17,Haryana,5674400,7591190,10036430,12922122,16464600,21083900,25753081,29.0587757,76.085601
18,Chhattisgarh,7457700,9154330,11637800,14010110,17615600,20834530,25540196,21.2786567,81.8661442
19,Jammu and Kashmir,3254650,3561100,4616632,5987389,7718700,10070300,12548926,34.1490875,76.8259652
20,Uttarkhand,2946900,3611200,4493800,5726550,7051600,8489100,10116752,30.066753,79.0192997
21,Himachal Pradesh,2386940,2812300,3460434,4280818,5170877,6077453,6856509,31.8360855,77.169855
22,Tripura,639984,1142282,1556342,2053058,2757205,3191880,3671032,23.9408482,91.9881527
23,Meghalaya,606300,769990,1011699,1335819,1774778,2306540,2964007,25.4670308,91.366216
24,Manipur_,578060,780340,1073509,1421290,1837900,2294480,2721756,24.6637173,93.9062688
25,Nagaland,213700,369309,516110,775570,1210492,1990275,1980602,26.1584354,94.5624426
26,Goa,547000,590875,795997,1008373,1170115,1348900,1457723,15.2993265,74.123996
27,Arunachal Pradesh,234432,337300,468885,632502,865900,1098328,1382611,28.2179994,94.7277528
28,Mizoram,196970,266200,332190,494440,690963,889690,1091014,23.164543,92.9375739
29,Sikkim,138093,162863,210205,316840,406000,541902,607688,27.5329718,88.5122178
UT1,Delhi,1744500,2659990,4066400,6220973,9421311,13851503,16753235,28.6322444,77.2207238
UT2,Puducherry,317407,369355,472836,604281,808117,974820,1244464,11.9138598,79.8144722
UT3,Chandigarh,24948,120480,257100,452960,642374,901080,1054686,30.7333148,76.7794179
UT4,Andaman and Nicobar Islands,31480,64160,115874,189496,281990,356650,379944,11.7400867,92.6586401
UT5,Dadra and Nagar Haveli,42846,58020,74880,104300,138290,220963,342853,20.1808672,73.0169135
UT6,Daman and Diu,49482,37587,63000,79842,102110,158080,242911,20.428283,72.8397317
UT7,Lakshadweep,21000,24370,32900,40250,52820,61300,64429,10.0760115,73.6303446
Total,India,361088400,439235720,548160050,683329900,846421830,1028737690,1210193422,20.593684,78.96288
